Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,564.167,381.5,0,144.7,0,0,NA,NA,NA,NA,NA
2,1,2,563.5,381.5,0,138.4,0.667,0.667,NA,0.667,NA,180,NA
3,1,3,562.833,379.5,0,145,2.775,2.404,NA,2.108,NA,-108.435,71.565
4,1,4,560.833,380.167,0,149.8,4.883,3.59,NA,2.108,NA,161.565,-90
5,1,5,559.5,379.5,0,149.8,6.374,5.077,NA,1.491,NA,-153.435,45
6,1,6,557.5,379.5,0,142.6,8.374,6.96,NA,2,NA,180,-26.565
7,1,7,556.167,378.833,0,138.2,9.864,8.433,NA,1.491,NA,-153.435,26.565
8,1,8,559.5,380.833,0,145.1,13.752,4.714,NA,3.887,NA,30.964,-175.601
9,1,9,554.833,380.167,0,141.5,18.466,9.428,NA,4.714,NA,-171.87,157.166
10,1,10,553.5,380.167,0,142.6,19.799,10.75,NA,1.333,NA,180,-8.13
11,1,11,553.5,378.167,0,149.3,21.799,11.175,NA,2,NA,-90,90
12,1,12,553.5,378.167,0,148.7,21.799,11.175,NA,0,NA,0,90
13,1,13,551.5,378.167,0,136.6,23.799,13.098,NA,2,NA,180,180
14,1,14,551.5,378.167,0,145.7,23.799,13.098,NA,0,NA,0,-180
15,1,15,549.5,378.167,0,137.3,25.799,15.041,NA,2,NA,180,180
16,1,16,548.833,376.167,0,151.7,27.907,16.234,NA,2.108,NA,-108.435,71.565
17,1,17,546.833,376.833,0,138.7,30.016,17.951,NA,2.108,NA,161.565,-90
18,1,18,548.167,376.167,0,156.8,31.506,16.865,NA,1.491,NA,-26.565,171.87
19,1,19,548.167,376.167,0,159.2,31.506,16.865,NA,0,NA,0,26.565
20,1,20,546.167,375.5,0,152.8,33.614,18.974,NA,2.108,NA,-161.565,-161.565
21,1,21,545.5,375.5,0,156.8,34.281,19.607,NA,0.667,NA,180,-18.435
22,1,22,542.167,374.833,0,146.3,37.68,22.988,NA,3.399,NA,-168.69,11.31
23,1,23,539.5,374.833,0,127.6,40.347,25.552,NA,2.667,NA,180,-11.31
24,1,24,537.5,374.167,0,137,42.455,27.657,NA,2.108,NA,-161.565,18.435
25,1,25,542.833,375.5,0,152.3,47.953,22.161,NA,5.497,NA,14.036,175.601
26,1,26,537.5,371.5,0,152.6,54.619,28.48,NA,6.667,NA,-143.13,-157.166
27,1,27,536.167,370.833,0,142.7,56.11,29.963,NA,1.491,NA,-153.435,-10.305
28,1,28,536.167,370.833,0,138.5,56.11,29.963,NA,0,NA,0,153.435
29,1,29,534.833,370.167,0,149,57.601,31.447,NA,1.491,NA,-153.435,-153.435
30,1,30,534.167,372.167,0,145.1,59.709,31.418,NA,2.108,NA,108.435,-98.13
31,1,31,530.833,371.5,0,126.7,63.108,34.801,NA,3.399,NA,-168.69,82.875
32,1,32,530.833,370.833,0,140.9,63.775,34.998,NA,0.667,NA,-90,78.69
33,1,33,528.167,368.833,0,131.2,67.108,38.163,NA,3.333,NA,-143.13,-53.13
34,1,34,530.833,370.167,0,145.7,70.09,35.207,NA,2.981,NA,26.565,169.695
35,1,35,528.833,369.5,0,149.3,72.198,37.315,NA,2.108,NA,-161.565,171.87
36,1,36,526.167,368.167,0,137.6,75.179,40.271,NA,2.981,NA,-153.435,8.13
37,1,37,527.5,367.5,0,148.7,76.67,39.248,NA,1.491,NA,-26.565,126.87
38,1,38,524.167,366.833,0,137.5,80.069,42.604,NA,3.399,NA,-168.69,-142.125
39,1,39,522.833,365.5,0,138.2,81.955,44.322,NA,1.886,NA,-135,33.69
40,1,40,522.167,365.5,0,144.5,82.622,44.944,NA,0.667,NA,180,-45
41,1,41,520.833,365.5,0,137,83.955,46.193,NA,1.333,NA,180,0
42,1,42,522.167,363.5,0,146.3,86.359,45.695,NA,2.404,NA,-56.31,123.69
43,1,43,519.5,364.833,0,146.3,89.34,47.675,NA,2.981,NA,153.435,-150.255
44,1,44,516.833,362.833,0,127.1,92.674,50.881,NA,3.333,NA,-143.13,63.435
45,1,45,517.5,363.5,0,148.7,93.616,50.018,NA,0.943,NA,45,-171.87
46,1,46,516.167,362.833,0,139,95.107,51.502,NA,1.491,NA,-153.435,161.565
47,1,47,516.167,362.833,0,138.5,95.107,51.502,NA,0,NA,0,153.435
48,1,48,514.167,361.5,0,134.2,97.511,53.852,NA,2.404,NA,-146.31,-146.31
49,1,49,512.833,360.167,0,112.6,99.396,55.59,NA,1.886,NA,-135,11.31
50,1,50,511.5,360.167,0,116.2,100.73,56.823,NA,1.333,NA,180,-45
51,1,51,510.833,360.167,0,119.3,101.396,57.442,NA,0.667,NA,180,0
52,1,52,510.167,358.833,0,117.5,102.887,58.564,NA,1.491,NA,-116.565,63.435
53,1,53,509.5,358.167,0,100.9,103.83,59.438,NA,0.943,NA,-135,-18.435
54,1,54,508.833,358.167,0,112,104.497,60.052,NA,0.667,NA,180,-45
55,1,55,506.833,358.167,0,123.5,106.497,61.9,NA,2,NA,180,0
56,1,56,506.833,358.167,0,123.4,106.497,61.9,NA,0,NA,0,-180
57,1,57,505.5,358.167,0,134.3,107.83,63.137,NA,1.333,NA,180,180
58,1,58,505.5,356.833,0,119.3,109.163,63.641,NA,1.333,NA,-90,90
59,1,59,502.167,356.833,0,109.7,112.497,66.727,NA,3.333,NA,180,-90
60,1,60,502.167,355.5,0,101.5,113.83,67.231,NA,1.333,NA,-90,90
61,1,61,501.5,354.833,0,95.5,114.773,68.104,NA,0.943,NA,-135,-45
62,1,62,500.833,355.5,0,117.1,115.716,68.462,NA,0.943,NA,135,-90
63,1,63,499.5,355.5,0,119.8,117.049,69.698,NA,1.333,NA,180,45
64,1,64,499.5,354.833,0,119.8,117.716,69.949,NA,0.667,NA,-90,90
65,1,65,498.833,354.833,0,124.1,118.382,70.566,NA,0.667,NA,180,-90
66,1,66,497.5,354.833,0,123.5,119.716,71.802,NA,1.333,NA,180,0
67,1,67,497.5,354.833,0,130.4,119.716,71.802,NA,0,NA,0,-180
