Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,524.5,377.833,0,80.7,0,0,NA,NA,NA,NA,NA
2,1,2,522.5,377.833,0,81.7,2,2,NA,2,NA,180,NA
3,1,3,521.833,377.833,0,79.7,2.667,2.667,NA,0.667,NA,180,0
4,1,4,519.167,379.167,0,84.3,5.648,5.497,NA,2.981,NA,153.435,-26.565
5,1,5,519.167,378.5,0,82.4,6.315,5.375,NA,0.667,NA,-90,116.565
6,1,6,518.5,378.5,0,82.7,6.981,6.037,NA,0.667,NA,180,-90
7,1,7,517.833,380.5,0,79.7,9.09,7.18,NA,2.108,NA,108.435,-71.565
8,1,8,517.167,381.167,0,82.4,10.032,8.055,NA,0.943,NA,135,26.565
9,1,9,516.5,381.167,0,82.7,10.699,8.667,NA,0.667,NA,180,45
10,1,10,516.5,381.167,0,83.3,10.699,8.667,NA,0,NA,0,-180
11,1,11,516.5,381.167,0,80.3,10.699,8.667,NA,0,NA,0,0
12,1,12,515.833,381.167,0,84.6,11.366,9.286,NA,0.667,NA,180,180
13,1,13,515.833,381.167,0,86.3,11.366,9.286,NA,0,NA,0,-180
14,1,14,515.833,381.167,0,86,11.366,9.286,NA,0,NA,0,0
15,1,15,515.833,381.167,0,81.7,11.366,9.286,NA,0,NA,0,0
16,1,16,513.833,381.833,0,83.6,13.474,11.392,NA,2.108,NA,161.565,161.565
17,1,17,513.833,381.833,0,81.7,13.474,11.392,NA,0,NA,0,-161.565
18,1,18,512.5,381.833,0,84.9,14.807,12.649,NA,1.333,NA,180,180
19,1,19,512.5,381.833,0,81.7,14.807,12.649,NA,0,NA,0,-180
20,1,20,511.167,381.833,0,86.6,16.141,13.92,NA,1.333,NA,180,180
21,1,21,509.833,381.167,0,83.3,17.631,15.041,NA,1.491,NA,-153.435,26.565
22,1,22,508.5,380.5,0,84.9,19.122,16.221,NA,1.491,NA,-153.435,0
23,1,23,509.167,380.5,0,86.6,19.789,15.563,NA,0.667,NA,0,153.435
24,1,24,507.833,381.167,0,89.7,21.279,16.997,NA,1.491,NA,153.435,153.435
25,1,25,507.833,381.167,0,88.1,21.279,16.997,NA,0,NA,0,-153.435
26,1,26,507.833,381.167,0,88.1,21.279,16.997,NA,0,NA,0,0
27,1,27,507.167,381.167,0,90.3,21.946,17.651,NA,0.667,NA,180,180
28,1,28,504.5,381.833,0,97.2,24.695,20.396,NA,2.749,NA,165.964,-14.036
29,1,29,503.833,381.833,0,89.7,25.361,21.05,NA,0.667,NA,180,14.036
30,1,30,503.833,381.833,0,94.2,25.361,21.05,NA,0,NA,0,-180
31,1,31,503.167,382.5,0,89.7,26.304,21.838,NA,0.943,NA,135,135
32,1,32,502.5,381.833,0,95.3,27.247,22.361,NA,0.943,NA,-135,90
33,1,33,502.5,381.833,0,91.4,27.247,22.361,NA,0,NA,0,135
34,1,34,502.5,381.833,0,90,27.247,22.361,NA,0,NA,0,0
