Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,645.5,209,0,170.4,0,0,NA,NA,NA,NA,NA
2,1,2,642.5,209,0,165.8,3,3,NA,3,NA,180,NA
3,1,3,641.5,209,0,158.6,4,4,NA,1,NA,180,0
4,1,4,640,209,0,159.2,5.5,5.5,NA,1.5,NA,180,0
5,1,5,636.5,209,0,158.6,9,9,NA,3.5,NA,180,0
6,1,6,634,208.5,0,156.8,11.55,11.511,NA,2.55,NA,-168.69,11.31
7,1,7,634,208,0,158.6,12.05,11.543,NA,0.5,NA,-90,78.69
8,1,8,631.5,208,0,161.6,14.55,14.036,NA,2.5,NA,180,-90
9,1,9,627,207,0,152.6,19.159,18.608,NA,4.61,NA,-167.471,12.529
10,1,10,625,206.5,0,148.4,21.221,20.652,NA,2.062,NA,-165.964,1.507
11,1,11,626.5,206.5,0,162.8,22.721,19.164,NA,1.5,NA,0,165.964
12,1,12,624.5,205.5,0,158.6,24.957,21.29,NA,2.236,NA,-153.435,-153.435
13,1,13,624.5,205.5,0,159.2,24.957,21.29,NA,0,NA,0,153.435
14,1,14,621.5,204.5,0,159.2,28.119,24.418,NA,3.162,NA,-161.565,-161.565
15,1,15,621,204.5,0,155.6,28.619,24.91,NA,0.5,NA,180,-18.435
16,1,16,618.5,204,0,161.6,31.169,27.459,NA,2.55,NA,-168.69,11.31
17,1,17,618.5,204,0,165.5,31.169,27.459,NA,0,NA,0,168.69
18,1,18,614.5,204,0,159.2,35.169,31.401,NA,4,NA,180,180
19,1,19,614,204,0,159.2,35.669,31.894,NA,0.5,NA,180,0
20,1,20,610.5,203,0,158.6,39.309,35.511,NA,3.64,NA,-164.055,15.945
21,1,21,609.5,203,0,158.6,40.309,36.497,NA,1,NA,180,-15.945
22,1,22,609.5,203,0,161.9,40.309,36.497,NA,0,NA,0,-180
23,1,23,605.5,202,0,158.6,44.432,40.608,NA,4.123,NA,-165.964,-165.964
24,1,24,605.5,202,0,165.5,44.432,40.608,NA,0,NA,0,165.964
25,1,25,602,202,0,152,47.932,44.06,NA,3.5,NA,180,180
26,1,26,600,201.5,0,147.8,49.993,46.114,NA,2.062,NA,-165.964,14.036
27,1,27,598,201,0,143.9,52.055,48.169,NA,2.062,NA,-165.964,0
