Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],α [deg],Δα [deg]
1,1,1,818,631.25,0,73.1,0,0,NA,NA,NA,NA,NA
2,1,2,817.5,631.25,0,75.5,0.5,0.5,NA,0.5,NA,180,NA
3,1,3,817,631.25,0,77.5,1,1,NA,0.5,NA,180,0
4,1,4,816.25,631.25,0,77.8,1.75,1.75,NA,0.75,NA,180,0
5,1,5,814.5,631.75,0,75.8,3.57,3.536,NA,1.82,NA,164.055,-15.945
6,1,6,813.25,631.75,0,74.8,4.82,4.776,NA,1.25,NA,180,15.945
7,1,7,812.25,631.5,0,67.9,5.851,5.755,NA,1.031,NA,-165.964,14.036
8,1,8,812.25,631.5,0,72.9,5.851,5.755,NA,0,NA,0,165.964
9,1,9,810.75,631.5,0,74.1,7.351,7.254,NA,1.5,NA,180,180
10,1,10,809,631.5,0,67.8,9.101,9.003,NA,1.75,NA,180,0
11,1,11,808.25,631.75,0,64.7,9.891,9.763,NA,0.791,NA,161.565,-18.435
12,1,12,806.75,631,0,67.7,11.568,11.253,NA,1.677,NA,-153.435,45
13,1,13,806,632.25,0,61.1,13.026,12.042,NA,1.458,NA,120.964,-85.601
14,1,14,804.75,632.5,0,67.2,14.301,13.309,NA,1.275,NA,168.69,47.726
15,1,15,803.5,632.25,0,67.5,15.576,14.534,NA,1.275,NA,-168.69,22.62
16,1,16,802.75,632.5,0,67.7,16.366,15.301,NA,0.791,NA,161.565,-29.745
17,1,17,802.75,632.5,0,75.2,16.366,15.301,NA,0,NA,0,-161.565
18,1,18,801.75,633,0,66.4,17.484,16.344,NA,1.118,NA,153.435,153.435
19,1,19,800.75,633,0,74.5,18.484,17.339,NA,1,NA,180,26.565
20,1,20,800.5,633,0,74.2,18.734,17.587,NA,0.25,NA,180,0
21,1,21,799.5,633,0,70.9,19.734,18.583,NA,1,NA,180,0
22,1,22,798.75,633,0,66.8,20.484,19.329,NA,0.75,NA,180,0
23,1,23,798,633.5,0,77.5,21.386,20.126,NA,0.901,NA,146.31,-33.69
24,1,24,798,633.75,0,75.2,21.636,20.156,NA,0.25,NA,90,-56.31
25,1,25,797.25,634,0,77.7,22.426,20.931,NA,0.791,NA,161.565,71.565
26,1,26,796.25,634,0,77.4,23.426,21.923,NA,1,NA,180,18.435
27,1,27,795,634.75,0,79.1,24.884,23.265,NA,1.458,NA,149.036,-30.964
28,1,28,794,634.75,0,79.5,25.884,24.254,NA,1,NA,180,30.964
29,1,29,792.75,634.75,0,74.5,27.134,25.491,NA,1.25,NA,180,0
30,1,30,792,634.75,0,74.5,27.884,26.235,NA,0.75,NA,180,0
31,1,31,791.25,634.75,0,71.6,28.634,26.978,NA,0.75,NA,180,0
32,1,32,790.5,634.5,0,80,29.425,27.691,NA,0.791,NA,-161.565,18.435
33,1,33,790,633.75,0,77.8,30.326,28.111,NA,0.901,NA,-123.69,37.875
34,1,34,789.5,634.25,0,82,31.033,28.657,NA,0.707,NA,135,-101.31
35,1,35,788.75,633.75,0,79.5,31.934,29.357,NA,0.901,NA,-146.31,78.69
36,1,36,788.75,633.75,0,80.9,31.934,29.357,NA,0,NA,0,146.31
37,1,37,787.75,633.5,0,80.3,32.965,30.334,NA,1.031,NA,-165.964,-165.964
38,1,38,787,633.5,0,82.9,33.715,31.082,NA,0.75,NA,180,-14.036
39,1,39,787,633.5,0,84.2,33.715,31.082,NA,0,NA,0,-180
40,1,40,786.75,633.5,0,82.9,33.965,31.331,NA,0.25,NA,180,180
41,1,41,786.5,633.5,0,84.2,34.215,31.58,NA,0.25,NA,180,0
42,1,42,785.25,633.5,0,85.8,35.465,32.827,NA,1.25,NA,180,0
43,1,43,784.25,633,0,82.2,36.583,33.795,NA,1.118,NA,-153.435,26.565
44,1,44,784.25,633,0,85.5,36.583,33.795,NA,0,NA,0,153.435
45,1,45,784,633,0,83.5,36.833,34.045,NA,0.25,NA,180,180
